# Omega OM-92b Logger 
Time Zone UTC + -4 hours

# Configuration :
DeviceID,15585
LoggingStart,Button Press
LoggingStartTime,05.30 10:40:00
LoggingInterval,10 mins
TemperatureLoggingEnable,true
TemperatureAlarmThresholdHigh,NA
TemperatureAlarmThresholdLow,NA
HumidityLoggingEnable,true
HumidityAlarmThresholdHigh,NA
HumidityAlarmThresholdLow,NA
Celcius/Fahrenheit,Celcius

,,# Sample Info :,,,,#Plot 
,,Data No,Date,Time,,Date/Time,Temperature,Humidity,DewPoint
,,56,2021-04-15,20:40:00,,2021-04-15 20:40:00,21.6354,44.0009,8.85768
,,57,2021-04-15,20:50:00,,2021-04-15 20:50:00,21.6033,43.7201,8.73389
,,58,2021-04-15,21:00:00,,2021-04-15 21:00:00,20.9037,44.77,8.45044
,,59,2021-04-15,21:10:00,,2021-04-15 21:10:00,19.7501,46.8452,8.06815
,,60,2021-04-15,21:20:00,,2021-04-15 21:20:00,19.2855,48.2002,8.0629
,,61,2021-04-15,21:30:00,,2021-04-15 21:30:00,19.0185,49.3996,8.17981
,,62,2021-04-15,21:40:00,,2021-04-15 21:40:00,18.8048,49.7414,8.08496
,,63,2021-04-15,21:50:00,,2021-04-15 21:50:00,18.666,50.0862,8.05889
,,64,2021-04-15,22:00:00,,2021-04-15 22:00:00,18.6126,50.37,8.09289
,,65,2021-04-15,22:10:00,,2021-04-15 22:10:00,18.6126,51.252,8.34872
,,66,2021-04-15,22:20:00,,2021-04-15 22:20:00,18.5431,51.429,8.33548
,,67,2021-04-15,22:30:00,,2021-04-15 22:30:00,18.4684,52.0363,8.43963
,,68,2021-04-15,22:40:00,,2021-04-15 22:40:00,18.3989,52.4117,8.48153
,,69,2021-04-15,22:50:00,,2021-04-15 22:50:00,18.3989,52.8969,8.61771
,,70,2021-04-15,23:00:00,,2021-04-15 23:00:00,18.3883,53.135,8.67421
,,71,2021-04-15,23:10:00,,2021-04-15 23:10:00,18.2975,53.5195,8.69667
,,72,2021-04-15,23:20:00,,2021-04-15 23:20:00,18.2601,53.959,8.78299
,,73,2021-04-15,23:30:00,,2021-04-15 23:30:00,18.3135,55.4574,9.23891
,,74,2021-04-15,23:40:00,,2021-04-15 23:40:00,18.2708,55.4513,9.19746
,,75,2021-04-15,23:50:00,,2021-04-15 23:50:00,18.228,55.6558,9.21232
,,76,2021-04-16,00:00:00,,2021-04-16 00:00:00,18.2708,56.8582,9.57015
,,77,2021-04-16,00:10:00,,2021-04-16 00:10:00,18.228,57.0382,9.57732
,,78,2021-04-16,00:20:00,,2021-04-16 00:20:00,18.228,57.0108,9.57015
,,79,2021-04-16,00:30:00,,2021-04-16 00:30:00,18.2708,57.6913,9.78704
,,80,2021-04-16,00:40:00,,2021-04-16 00:40:00,18.2441,58.1155,9.87139
,,81,2021-04-16,00:50:00,,2021-04-16 00:50:00,18.2601,56.6567,9.50732
,,82,2021-04-16,01:00:00,,2021-04-16 01:00:00,18.2975,59.1043,10.1737
,,83,2021-04-16,01:10:00,,2021-04-16 01:10:00,18.2441,58.912,10.0748
,,84,2021-04-16,01:20:00,,2021-04-16 01:20:00,18.228,58.3444,9.91508
,,85,2021-04-16,01:30:00,,2021-04-16 01:30:00,18.2601,60.1175,10.3932
,,86,2021-04-16,01:40:00,,2021-04-16 01:40:00,18.2013,59.5743,10.202
,,87,2021-04-16,01:50:00,,2021-04-16 01:50:00,18.2868,59.91,10.3665
,,88,2021-04-16,02:00:00,,2021-04-16 02:00:00,18.2601,60.4746,10.482
,,89,2021-04-16,02:10:00,,2021-04-16 02:10:00,18.2013,59.6353,10.2173
,,90,2021-04-16,02:20:00,,2021-04-16 02:20:00,18.2708,60.3006,10.4489
,,91,2021-04-16,02:30:00,,2021-04-16 02:30:00,18.2601,60.1389,10.3985
,,92,2021-04-16,02:40:00,,2021-04-16 02:40:00,18.1853,59.9466,10.2802
,,93,2021-04-16,02:50:00,,2021-04-16 02:50:00,18.2708,59.9741,10.3674
,,94,2021-04-16,03:00:00,,2021-04-16 03:00:00,18.228,59.3606,10.1733
,,95,2021-04-16,03:10:00,,2021-04-16 03:10:00,18.2174,60.4562,10.4373
,,96,2021-04-16,03:20:00,,2021-04-16 03:20:00,18.228,59.086,10.1039
,,97,2021-04-16,03:30:00,,2021-04-16 03:30:00,18.1853,59.791,10.2413
,,98,2021-04-16,03:40:00,,2021-04-16 03:40:00,18.2441,59.4736,10.2168
,,99,2021-04-16,03:50:00,,2021-04-16 03:50:00,18.2174,58.7015,9.99623
,,100,2021-04-16,04:00:00,,2021-04-16 04:00:00,18.2013,59.9649,10.2999
