,species,pendant_ID,temp,calendar_date,julian_date,pot_ID,census,table_ID,lightbulb_strength,number_planted,establishment,soil_moisture_3week,germination,soil_moisture_6week,mass,se,sd,mean_temp,max_temp,locality
158,Bromus rubens,15585,Medium,06/09/2021,249,18,Greenhouse Temperature Experiment,2,60,40,0,17,0,9,0,0.006772501,3.639984489,25.84534436,27.7558,invasive
170,Bromus rubens,15593,Medium,06/09/2021,249,53,Greenhouse Temperature Experiment,2,60,40,0,20,0,13,0,0.006772501,3.639984489,26.46020093,27.7611,invasive
174,Bromus rubens,15593,Medium,06/09/2021,249,57,Greenhouse Temperature Experiment,2,60,40,0,25,0,10,0,0.006772501,3.639984489,26.46020093,27.7611,invasive
215,Layia platyglossa,15566,High,30/05/2021,150,28,Greenhouse Temperature Experiment,3,100,40,0,3,0,8,0,0.006772501,3.639984489,29.68450484,33.3795,native
219,Layia platyglossa,15566,High,30/05/2021,150,32,Greenhouse Temperature Experiment,3,100,40,0,5,0,17,0,0.006772501,3.639984489,29.68450484,33.3795,native
221,Layia platyglossa,15566,High,30/05/2021,150,34,Greenhouse Temperature Experiment,3,100,40,0,5,0,11,0,0.006772501,3.639984489,29.68450484,33.3795,native
246,Layia platyglossa,15571,Low,30/05/2021,150,59,Greenhouse Temperature Experiment,1,40,40,0,4,0,19,0,0.006772501,3.639984489,24.20203222,26.3005,native
264,Layia platyglossa,15573,High,30/05/2021,150,7,Greenhouse Temperature Experiment,3,100,40,0,2,0,7,0,0.006772501,3.639984489,26.03645136,28.4501,native
265,Layia platyglossa,15573,High,30/05/2021,150,8,Greenhouse Temperature Experiment,3,100,40,0,2,0,8,0,0.006772501,3.639984489,26.03645136,28.4501,native
292,Layia platyglossa,15574,High,30/05/2021,150,58,Greenhouse Temperature Experiment,3,100,40,0,6,0,23,0,0.006772501,3.639984489,28.99218047,33.0537,native
293,Layia platyglossa,15574,High,30/05/2021,150,59,Greenhouse Temperature Experiment,3,100,40,0,6,0,11,0,0.006772501,3.639984489,28.99218047,33.0537,native
297,Layia platyglossa,15574,High,30/05/2021,150,63,Greenhouse Temperature Experiment,3,100,40,0,5,0,12,0,0.006772501,3.639984489,28.99218047,33.0537,native
315,Layia platyglossa,15575,Low,30/05/2021,150,34,Greenhouse Temperature Experiment,1,40,40,0,8,0,19,0,0.006772501,3.639984489,23.53640651,25.3258,native
346,Layia platyglossa,15583,Medium,30/05/2021,150,42,Greenhouse Temperature Experiment,2,60,40,0,4,0,9,0,0.006772501,3.639984489,23.46374777,25.3952,native
634,Salvia columbariae,15566,High,18/07/2021,199,27,Greenhouse Temperature Experiment,3,100,40,0,20,0,16,0,0.006772501,3.639984489,29.50817081,31.5316,native
635,Salvia columbariae,15566,High,18/07/2021,199,28,Greenhouse Temperature Experiment,3,100,40,0,26,0,14,0,0.006772501,3.639984489,29.50817081,31.5316,native
641,Salvia columbariae,15566,High,18/07/2021,199,34,Greenhouse Temperature Experiment,3,100,40,0,18,0,9,0,0.006772501,3.639984489,29.50817081,31.5316,native
642,Salvia columbariae,15566,High,18/07/2021,199,35,Greenhouse Temperature Experiment,3,100,40,0,18,0,11,0,0.006772501,3.639984489,29.50817081,31.5316,native
644,Salvia columbariae,15566,High,18/07/2021,199,37,Greenhouse Temperature Experiment,3,100,40,0,23,0,11,0,0.006772501,3.639984489,29.50817081,31.5316,native
646,Salvia columbariae,15566,High,18/07/2021,199,39,Greenhouse Temperature Experiment,3,100,40,0,9,0,10,0,0.006772501,3.639984489,29.50817081,31.5316,native
648,Salvia columbariae,15566,High,18/07/2021,199,41,Greenhouse Temperature Experiment,3,100,40,0,32,0,11,0,0.006772501,3.639984489,29.50817081,31.5316,native
650,Salvia columbariae,15566,High,18/07/2021,199,43,Greenhouse Temperature Experiment,3,100,40,0,24,0,12,0,0.006772501,3.639984489,29.50817081,31.5316,native
651,Salvia columbariae,15566,High,18/07/2021,199,44,Greenhouse Temperature Experiment,3,100,40,0,19,0,9,0,0.006772501,3.639984489,29.50817081,31.5316,native
654,Salvia columbariae,15571,Low,18/07/2021,199,47,Greenhouse Temperature Experiment,1,40,40,0,32,0,8,0,0.006772501,3.639984489,24.96791965,26.7117,native
655,Salvia columbariae,15571,Low,18/07/2021,199,48,Greenhouse Temperature Experiment,1,40,40,0,17,0,14,0,0.006772501,3.639984489,24.96791965,26.7117,native
656,Salvia columbariae,15571,Low,18/07/2021,199,49,Greenhouse Temperature Experiment,1,40,40,0,11,0,11,0,0.006772501,3.639984489,24.96791965,26.7117,native
657,Salvia columbariae,15571,Low,18/07/2021,199,50,Greenhouse Temperature Experiment,1,40,40,0,14,0,13,0,0.006772501,3.639984489,24.96791965,26.7117,native
665,Salvia columbariae,15571,Low,18/07/2021,199,58,Greenhouse Temperature Experiment,1,40,40,0,13,0,9,0,0.006772501,3.639984489,24.96791965,26.7117,native
668,Salvia columbariae,15571,Low,18/07/2021,199,61,Greenhouse Temperature Experiment,1,40,40,0,25,0,18,0,0.006772501,3.639984489,24.96791965,26.7117,native
669,Salvia columbariae,15571,Low,18/07/2021,199,62,Greenhouse Temperature Experiment,1,40,40,0,9,0,13,0,0.006772501,3.639984489,24.96791965,26.7117,native
671,Salvia columbariae,15571,Low,18/07/2021,199,64,Greenhouse Temperature Experiment,1,40,40,0,16,0,12,0,0.006772501,3.639984489,24.96791965,26.7117,native
675,Salvia columbariae,15571,Low,18/07/2021,199,68,Greenhouse Temperature Experiment,1,40,40,0,22,0,11,0,0.006772501,3.639984489,24.96791965,26.7117,native
677,Salvia columbariae,15571,Low,18/07/2021,199,70,Greenhouse Temperature Experiment,1,40,40,0,22,0,21,0,0.006772501,3.639984489,24.96791965,26.7117,native
680,Salvia columbariae,15573,High,18/07/2021,199,3,Greenhouse Temperature Experiment,3,100,40,0,22,0,11,0,0.006772501,3.639984489,30.33944041,32.039,native
686,Salvia columbariae,15573,High,18/07/2021,199,9,Greenhouse Temperature Experiment,3,100,40,0,23,0,12,0,0.006772501,3.639984489,30.33944041,32.039,native
687,Salvia columbariae,15573,High,18/07/2021,199,10,Greenhouse Temperature Experiment,3,100,40,0,21,0,13,0,0.006772501,3.639984489,30.33944041,32.039,native
689,Salvia columbariae,15573,High,18/07/2021,199,12,Greenhouse Temperature Experiment,3,100,40,0,22,0,16,0,0.006772501,3.639984489,30.33944041,32.039,native
690,Salvia columbariae,15573,High,18/07/2021,199,13,Greenhouse Temperature Experiment,3,100,40,0,33,0,15,0,0.006772501,3.639984489,30.33944041,32.039,native
691,Salvia columbariae,15573,High,18/07/2021,199,14,Greenhouse Temperature Experiment,3,100,40,0,17,0,9,0,0.006772501,3.639984489,30.33944041,32.039,native
692,Salvia columbariae,15573,High,18/07/2021,199,15,Greenhouse Temperature Experiment,3,100,40,0,28,0,19,0,0.006772501,3.639984489,30.33944041,32.039,native
693,Salvia columbariae,15573,High,18/07/2021,199,16,Greenhouse Temperature Experiment,3,100,40,0,24,0,14,0,0.006772501,3.639984489,30.33944041,32.039,native
695,Salvia columbariae,15573,High,18/07/2021,199,18,Greenhouse Temperature Experiment,3,100,40,0,20,0,14,0,0.006772501,3.639984489,30.33944041,32.039,native
696,Salvia columbariae,15573,High,18/07/2021,199,19,Greenhouse Temperature Experiment,3,100,40,0,15,0,16,0,0.006772501,3.639984489,30.33944041,32.039,native
698,Salvia columbariae,15573,High,18/07/2021,199,21,Greenhouse Temperature Experiment,3,100,40,0,30,0,15,0,0.006772501,3.639984489,30.33944041,32.039,native
701,Salvia columbariae,15574,High,18/07/2021,199,47,Greenhouse Temperature Experiment,3,100,40,0,27,0,10,0,0.006772501,3.639984489,27.54544843,29.8547,native
