"","temp","species","pendant_ID","se","sd","mean_temp","max_temp"
"1","Ambient","Bromus rubens",15587,0.00677250078459327,3.63998448912678,20.5535752617801,21.363
"2","Ambient","Bromus rubens",15591,0.00677250078459327,3.63998448912678,20.5375315735893,21.3363
"3","Ambient","Layia platyglossa",15587,0.00677250078459327,3.63998448912678,18.235034394806,20.6313
"4","Ambient","Layia platyglossa",15591,0.00677250078459327,3.63998448912678,18.1148139897975,20.5032
"5","Ambient","Phacelia tanacetifolia",15587,0.00677250078459327,3.63998448912678,20.7414174807198,21.6033
"6","Ambient","Phacelia tanacetifolia",15591,0.00677250078459327,3.63998448912678,20.6588608254784,21.5072
"7","Ambient","Salvia columbariae",15587,0.00677250078459327,3.63998448912678,19.9998986421243,20.9304
"8","Ambient","Salvia columbariae",15591,0.00677250078459327,3.63998448912678,19.9611460319855,20.8717
"9","High","Bromus rubens",15573,0.00677250078459327,3.63998448912678,28.6698592759523,31.6705
"10","High","Bromus rubens",15574,0.00677250078459327,3.63998448912678,31.9851957400407,34.1272
"11","High","Layia platyglossa",15566,0.00677250078459327,3.63998448912678,29.6845048392084,33.3795
"12","High","Layia platyglossa",15573,0.00677250078459327,3.63998448912678,26.0364513605442,28.4501
"13","High","Layia platyglossa",15574,0.00677250078459327,3.63998448912678,28.9921804730983,33.0537
"14","High","Phacelia tanacetifolia",15566,0.00677250078459327,3.63998448912678,33.4769173884188,34.8482
"15","High","Phacelia tanacetifolia",15573,0.00677250078459327,3.63998448912678,28.5669911584059,30.0683
"16","High","Phacelia tanacetifolia",15574,0.00677250078459327,3.63998448912678,31.4101469151671,32.5624
"17","High","Salvia columbariae",15566,0.00677250078459327,3.63998448912678,29.5081708056729,31.5316
"18","High","Salvia columbariae",15573,0.00677250078459327,3.63998448912678,30.3394404104421,32.039
"19","High","Salvia columbariae",15574,0.00677250078459327,3.63998448912678,27.5454484308992,29.8547
"20","Low","Bromus rubens",15571,0.00677250078459327,3.63998448912678,26.3460993892686,27.454
"21","Low","Bromus rubens",15575,0.00677250078459327,3.63998448912678,25.579489239494,27.0775
"22","Low","Bromus rubens",15598,0.00677250078459327,3.63998448912678,23.6620635015268,24.8238
"23","Low","Layia platyglossa",15571,0.00677250078459327,3.63998448912678,24.2020322151801,26.3005
"24","Low","Layia platyglossa",15575,0.00677250078459327,3.63998448912678,23.536406507961,25.3258
"25","Low","Layia platyglossa",15598,0.00677250078459327,3.63998448912678,23.162052774772,25.2617
"26","Low","Phacelia tanacetifolia",15571,0.00677250078459327,3.63998448912678,25.9168300528496,27.5128
"27","Low","Phacelia tanacetifolia",15575,0.00677250078459327,3.63998448912678,24.7948741751178,26.0575
"28","Low","Phacelia tanacetifolia",15598,0.00677250078459327,3.63998448912678,24.1907634766462,25.2617
"29","Low","Salvia columbariae",15571,0.00677250078459327,3.63998448912678,24.967919646899,26.7117
"30","Low","Salvia columbariae",15575,0.00677250078459327,3.63998448912678,25.0123953976158,26.725
"31","Low","Salvia columbariae",15598,0.00677250078459327,3.63998448912678,23.7115402293647,25.1068
"32","Medium","Bromus rubens",15583,0.00677250078459327,3.63998448912678,26.2376098865949,29.139
"33","Medium","Bromus rubens",15585,0.00677250078459327,3.63998448912678,25.8453443588252,27.7558
"34","Medium","Bromus rubens",15593,0.00677250078459327,3.63998448912678,26.4602009305031,27.7611
"35","Medium","Layia platyglossa",15583,0.00677250078459327,3.63998448912678,23.4637477736549,25.3952
"36","Medium","Layia platyglossa",15585,0.00677250078459327,3.63998448912678,21.8392751893647,23.4619
"37","Medium","Layia platyglossa",15593,0.00677250078459327,3.63998448912678,24.6632781728242,26.3779
"38","Medium","Phacelia tanacetifolia",15583,0.00677250078459327,3.63998448912678,26.6584192686759,27.8412
"39","Medium","Phacelia tanacetifolia",15585,0.00677250078459327,3.63998448912678,26.1268815026425,27.1363
"40","Medium","Phacelia tanacetifolia",15593,0.00677250078459327,3.63998448912678,26.1432919582917,27.4193
"41","Medium","Salvia columbariae",15583,0.00677250078459327,3.63998448912678,24.6583933303154,26.2016
"42","Medium","Salvia columbariae",15585,0.00677250078459327,3.63998448912678,23.824505175796,26.207
"43","Medium","Salvia columbariae",15593,0.00677250078459327,3.63998448912678,25.9497404557115,27.2644
