calendar.date,julian.date,pot.ID,species,census,pendant.ID,table.ID,Lightbulb_strength,Factor,number.planted,number.germinated,soil.moisture,Mass
06/09/2021,249,60,Bromus rubens,Greenhouse Temperature Experiment,15571,1,40,Low,40,6,11,0.308
06/09/2021,249,61,Bromus rubens,Greenhouse Temperature Experiment,15571,1,40,Low,40,16,15,0.37
06/09/2021,249,62,Bromus rubens,Greenhouse Temperature Experiment,15571,1,40,Low,40,14,10,0.424
06/09/2021,249,63,Bromus rubens,Greenhouse Temperature Experiment,15571,1,40,Low,40,11,9,0.271
06/09/2021,249,64,Bromus rubens,Greenhouse Temperature Experiment,15571,1,40,Low,40,15,12,0.234
06/09/2021,249,65,Bromus rubens,Greenhouse Temperature Experiment,15571,1,40,Low,40,13,9,0.183
06/09/2021,249,66,Bromus rubens,Greenhouse Temperature Experiment,15571,1,40,Low,40,23,10,0.295
06/09/2021,249,67,Bromus rubens,Greenhouse Temperature Experiment,15571,1,40,Low,40,22,14,0.312
06/09/2021,249,68,Bromus rubens,Greenhouse Temperature Experiment,15571,1,40,Low,40,14,13,0.215
06/09/2021,249,69,Bromus rubens,Greenhouse Temperature Experiment,15571,1,40,Low,40,18,20,0.239
06/09/2021,249,70,Bromus rubens,Greenhouse Temperature Experiment,15571,1,40,Low,40,16,15,0.264
06/09/2021,249,1,Bromus rubens,Greenhouse Temperature Experiment,15585,2,60,Medium,40,21,9,0.293
06/09/2021,249,2,Bromus rubens,Greenhouse Temperature Experiment,15585,2,60,Medium,40,6,12,0.156
06/09/2021,249,3,Bromus rubens,Greenhouse Temperature Experiment,15585,2,60,Medium,40,6,14,0.12
06/09/2021,249,4,Bromus rubens,Greenhouse Temperature Experiment,15585,2,60,Medium,40,8,18,0.072
06/09/2021,249,5,Bromus rubens,Greenhouse Temperature Experiment,15585,2,60,Medium,40,11,20,0.259
06/09/2021,249,6,Bromus rubens,Greenhouse Temperature Experiment,15585,2,60,Medium,40,15,14,0.217
06/09/2021,249,7,Bromus rubens,Greenhouse Temperature Experiment,15585,2,60,Medium,40,5,11,0.381
06/09/2021,249,8,Bromus rubens,Greenhouse Temperature Experiment,15585,2,60,Medium,40,5,9,0.319
06/09/2021,249,9,Bromus rubens,Greenhouse Temperature Experiment,15585,2,60,Medium,40,9,14,0.291
06/09/2021,249,10,Bromus rubens,Greenhouse Temperature Experiment,15585,2,60,Medium,40,12,18,0.137
06/09/2021,249,11,Bromus rubens,Greenhouse Temperature Experiment,15585,2,60,Medium,40,12,10,0.066
06/09/2021,249,12,Bromus rubens,Greenhouse Temperature Experiment,15585,2,60,Medium,40,6,9,0.333
06/09/2021,249,13,Bromus rubens,Greenhouse Temperature Experiment,15585,2,60,Medium,40,3,10,0.144
06/09/2021,249,14,Bromus rubens,Greenhouse Temperature Experiment,15585,2,60,Medium,40,5,7,0.055
06/09/2021,249,15,Bromus rubens,Greenhouse Temperature Experiment,15585,2,60,Medium,40,7,12,0.099
06/09/2021,249,16,Bromus rubens,Greenhouse Temperature Experiment,15585,2,60,Medium,40,5,13,0.01
06/09/2021,249,17,Bromus rubens,Greenhouse Temperature Experiment,15585,2,60,Medium,40,4,9,0.007
06/09/2021,249,18,Bromus rubens,Greenhouse Temperature Experiment,15585,2,60,Medium,40,0,9,0
06/09/2021,249,19,Bromus rubens,Greenhouse Temperature Experiment,15585,2,60,Medium,40,4,11,0.136
06/09/2021,249,20,Bromus rubens,Greenhouse Temperature Experiment,15585,2,60,Medium,40,6,12,0.149
06/09/2021,249,21,Bromus rubens,Greenhouse Temperature Experiment,15585,2,60,Medium,40,13,13,0.197
06/09/2021,249,22,Bromus rubens,Greenhouse Temperature Experiment,15585,2,60,Medium,40,2,12,0.191
06/09/2021,249,23,Bromus rubens,Greenhouse Temperature Experiment,15585,2,60,Medium,40,2,7,0.098
06/09/2021,249,24,Bromus rubens,Greenhouse Temperature Experiment,15583,2,60,Medium,40,3,8,0.055
06/09/2021,249,25,Bromus rubens,Greenhouse Temperature Experiment,15583,2,60,Medium,40,7,9,0.097
06/09/2021,249,26,Bromus rubens,Greenhouse Temperature Experiment,15583,2,60,Medium,40,12,12,0.186
06/09/2021,249,27,Bromus rubens,Greenhouse Temperature Experiment,15583,2,60,Medium,40,1,11,0.123
06/09/2021,249,28,Bromus rubens,Greenhouse Temperature Experiment,15583,2,60,Medium,40,2,13,0.048
06/09/2021,249,29,Bromus rubens,Greenhouse Temperature Experiment,15583,2,60,Medium,40,5,10,0.036
06/09/2021,249,30,Bromus rubens,Greenhouse Temperature Experiment,15583,2,60,Medium,40,5,12,0.121
06/09/2021,249,31,Bromus rubens,Greenhouse Temperature Experiment,15583,2,60,Medium,40,3,13,0.163
06/09/2021,249,32,Bromus rubens,Greenhouse Temperature Experiment,15583,2,60,Medium,40,2,9,0.352
06/09/2021,249,33,Bromus rubens,Greenhouse Temperature Experiment,15583,2,60,Medium,40,1,5,0.218
06/09/2021,249,34,Bromus rubens,Greenhouse Temperature Experiment,15583,2,60,Medium,40,4,9,0.047
06/09/2021,249,35,Bromus rubens,Greenhouse Temperature Experiment,15583,2,60,Medium,40,6,12,0.019
06/09/2021,249,36,Bromus rubens,Greenhouse Temperature Experiment,15583,2,60,Medium,40,7,7,0.075
06/09/2021,249,37,Bromus rubens,Greenhouse Temperature Experiment,15583,2,60,Medium,40,1,7,0.02
06/09/2021,249,38,Bromus rubens,Greenhouse Temperature Experiment,15583,2,60,Medium,40,0,8,0
06/09/2021,249,39,Bromus rubens,Greenhouse Temperature Experiment,15583,2,60,Medium,40,0,7,0.015
06/09/2021,249,40,Bromus rubens,Greenhouse Temperature Experiment,15583,2,60,Medium,40,2,9,0.007
06/09/2021,249,41,Bromus rubens,Greenhouse Temperature Experiment,15583,2,60,Medium,40,1,9,0.013
06/09/2021,249,42,Bromus rubens,Greenhouse Temperature Experiment,15583,2,60,Medium,40,0,8,0
06/09/2021,249,43,Bromus rubens,Greenhouse Temperature Experiment,15583,2,60,Medium,40,0,8,0
06/09/2021,249,44,Bromus rubens,Greenhouse Temperature Experiment,15583,2,60,Medium,40,9,7,0.16
06/09/2021,249,45,Bromus rubens,Greenhouse Temperature Experiment,15583,2,60,Medium,40,9,12,0.107
06/09/2021,249,46,Bromus rubens,Greenhouse Temperature Experiment,15583,2,60,Medium,40,0,9,0
06/09/2021,249,47,Bromus rubens,Greenhouse Temperature Experiment,15593,2,60,Medium,40,3,7,0.043
06/09/2021,249,48,Bromus rubens,Greenhouse Temperature Experiment,15593,2,60,Medium,40,1,6,0.002
06/09/2021,249,49,Bromus rubens,Greenhouse Temperature Experiment,15593,2,60,Medium,40,3,9,0.104
06/09/2021,249,50,Bromus rubens,Greenhouse Temperature Experiment,15593,2,60,Medium,40,15,9,0.122
06/09/2021,249,51,Bromus rubens,Greenhouse Temperature Experiment,15593,2,60,Medium,40,7,14,0.123
06/09/2021,249,52,Bromus rubens,Greenhouse Temperature Experiment,15593,2,60,Medium,40,7,9,0.062
06/09/2021,249,53,Bromus rubens,Greenhouse Temperature Experiment,15593,2,60,Medium,40,0,13,0
06/09/2021,249,54,Bromus rubens,Greenhouse Temperature Experiment,15593,2,60,Medium,40,4,10,0.057
06/09/2021,249,55,Bromus rubens,Greenhouse Temperature Experiment,15593,2,60,Medium,40,2,13,0.065
06/09/2021,249,56,Bromus rubens,Greenhouse Temperature Experiment,15593,2,60,Medium,40,1,9,0.03
06/09/2021,249,57,Bromus rubens,Greenhouse Temperature Experiment,15593,2,60,Medium,40,0,10,0
06/09/2021,249,58,Bromus rubens,Greenhouse Temperature Experiment,15593,2,60,Medium,40,1,5,0.063
06/09/2021,249,59,Bromus rubens,Greenhouse Temperature Experiment,15593,2,60,Medium,40,1,9,0.016
06/09/2021,249,60,Bromus rubens,Greenhouse Temperature Experiment,15593,2,60,Medium,40,8,9,0.188
06/09/2021,249,61,Bromus rubens,Greenhouse Temperature Experiment,15593,2,60,Medium,40,4,9,0.003
06/09/2021,249,62,Bromus rubens,Greenhouse Temperature Experiment,15593,2,60,Medium,40,1,9,0.003
06/09/2021,249,63,Bromus rubens,Greenhouse Temperature Experiment,15593,2,60,Medium,40,3,8,0.027
06/09/2021,249,64,Bromus rubens,Greenhouse Temperature Experiment,15593,2,60,Medium,40,5,13,0.057
06/09/2021,249,65,Bromus rubens,Greenhouse Temperature Experiment,15593,2,60,Medium,40,6,10,0.038
06/09/2021,249,66,Bromus rubens,Greenhouse Temperature Experiment,15593,2,60,Medium,40,7,9,0.06
06/09/2021,249,67,Bromus rubens,Greenhouse Temperature Experiment,15593,2,60,Medium,40,5,9,0.02
06/09/2021,249,68,Bromus rubens,Greenhouse Temperature Experiment,15593,2,60,Medium,40,4,9,0.057
06/09/2021,249,69,Bromus rubens,Greenhouse Temperature Experiment,15593,2,60,Medium,40,5,13,0.044
06/09/2021,249,70,Bromus rubens,Greenhouse Temperature Experiment,15593,2,60,Medium,40,10,18,0.189
06/09/2021,249,1,Bromus rubens,Greenhouse Temperature Experiment,15573,3,100,High,40,18,8,0.122
06/09/2021,249,2,Bromus rubens,Greenhouse Temperature Experiment,15573,3,100,High,40,7,11,0.056
06/09/2021,249,3,Bromus rubens,Greenhouse Temperature Experiment,15573,3,100,High,40,4,11,0.047
06/09/2021,249,4,Bromus rubens,Greenhouse Temperature Experiment,15573,3,100,High,40,15,9,0.184
06/09/2021,249,5,Bromus rubens,Greenhouse Temperature Experiment,15573,3,100,High,40,14,11,0.071
06/09/2021,249,6,Bromus rubens,Greenhouse Temperature Experiment,15573,3,100,High,40,6,6,0.077
06/09/2021,249,7,Bromus rubens,Greenhouse Temperature Experiment,15573,3,100,High,40,2,7,0.052
06/09/2021,249,8,Bromus rubens,Greenhouse Temperature Experiment,15573,3,100,High,40,4,8,0.02
06/09/2021,249,9,Bromus rubens,Greenhouse Temperature Experiment,15573,3,100,High,40,1,7,0.014
06/09/2021,249,10,Bromus rubens,Greenhouse Temperature Experiment,15573,3,100,High,40,12,9,0.062
06/09/2021,249,11,Bromus rubens,Greenhouse Temperature Experiment,15573,3,100,High,40,5,9,0.115
06/09/2021,249,12,Bromus rubens,Greenhouse Temperature Experiment,15573,3,100,High,40,2,9,0.018
06/09/2021,249,13,Bromus rubens,Greenhouse Temperature Experiment,15573,3,100,High,40,2,8,0.007
06/09/2021,249,14,Bromus rubens,Greenhouse Temperature Experiment,15573,3,100,High,40,0,10,0
06/09/2021,249,15,Bromus rubens,Greenhouse Temperature Experiment,15573,3,100,High,40,4,13,0.027
06/09/2021,249,16,Bromus rubens,Greenhouse Temperature Experiment,15573,3,100,High,40,15,6,0.049
06/09/2021,249,17,Bromus rubens,Greenhouse Temperature Experiment,15573,3,100,High,40,0,10,0
06/09/2021,249,18,Bromus rubens,Greenhouse Temperature Experiment,15573,3,100,High,40,0,5,0
06/09/2021,249,19,Bromus rubens,Greenhouse Temperature Experiment,15573,3,100,High,40,0,8,0
06/09/2021,249,20,Bromus rubens,Greenhouse Temperature Experiment,15573,3,100,High,40,7,8,0.047
06/09/2021,249,21,Bromus rubens,Greenhouse Temperature Experiment,15573,3,100,High,40,3,9,0.072
06/09/2021,249,22,Bromus rubens,Greenhouse Temperature Experiment,15573,3,100,High,40,1,9,0.054
06/09/2021,249,23,Bromus rubens,Greenhouse Temperature Experiment,15573,3,100,High,40,0,8,0
06/09/2021,249,24,Bromus rubens,Greenhouse Temperature Experiment,15566,3,100,High,40,1,9,0
06/09/2021,249,25,Bromus rubens,Greenhouse Temperature Experiment,15566,3,100,High,40,2,9,0.126
06/09/2021,249,26,Bromus rubens,Greenhouse Temperature Experiment,15566,3,100,High,40,4,6,0.083
06/09/2021,249,27,Bromus rubens,Greenhouse Temperature Experiment,15566,3,100,High,40,4,9,0.03
06/09/2021,249,28,Bromus rubens,Greenhouse Temperature Experiment,15566,3,100,High,40,1,9,0.031
06/09/2021,249,29,Bromus rubens,Greenhouse Temperature Experiment,15566,3,100,High,40,1,7,0.075
06/09/2021,249,30,Bromus rubens,Greenhouse Temperature Experiment,15566,3,100,High,40,0,7,0
06/09/2021,249,31,Bromus rubens,Greenhouse Temperature Experiment,15566,3,100,High,40,7,7,0.035
06/09/2021,249,32,Bromus rubens,Greenhouse Temperature Experiment,15566,3,100,High,40,0,9,0
06/09/2021,249,33,Bromus rubens,Greenhouse Temperature Experiment,15566,3,100,High,40,0,9,0
06/09/2021,249,34,Bromus rubens,Greenhouse Temperature Experiment,15566,3,100,High,40,1,6,0.044
06/09/2021,249,35,Bromus rubens,Greenhouse Temperature Experiment,15566,3,100,High,40,0,8,0
06/09/2021,249,36,Bromus rubens,Greenhouse Temperature Experiment,15566,3,100,High,40,2,9,0.06
06/09/2021,249,37,Bromus rubens,Greenhouse Temperature Experiment,15566,3,100,High,40,0,6,0
06/09/2021,249,38,Bromus rubens,Greenhouse Temperature Experiment,15566,3,100,High,40,0,8,0
